file_name,agency,release_date,incident_date,incident_location,file_type,page_count,ocr_success_rate,review_required_count,japan_related,japan_keywords,japan_signal_source,location_conflict,location_conflict_reason,candidate_score,recommended_lane,reasons,notes
341_110677_numerical_file_5-2500.pdf,Department of War,5/8/26,10/14/55,Azerbaijan,PDF,10,,0,false,,,false,,10,hold,agency=Department of War(+5) | 10p: short document(+5),
59_214434_sp_16_7.18.1963.pdf,Department of State,5/8/26,7/18/52,N/A,PDF,6,,0,false,,,false,,10,hold,agency=Department of State(+5) | 6p: short document(+5),
59_214434_sp_16_[7.18.1963].pdf,Department of State,5/8/26,7/18/63,N/A,PDF,6,,0,false,,,false,,10,hold,agency=Department of State(+5) | 6p: short document(+5),
65_hs1-834228961_62-hq-83894_serial_153.pdf,FBI,5/8/26,N/A,N/A,PDF,9,,0,false,,,false,,10,hold,agency=FBI(+10) | serial (part of large multi-section file)(-5) | 9p: short document(+5),
65_hs1-834228961_62-hq-83894_serial_220.pdf,FBI,5/8/26,N/A,N/A,PDF,15,,0,false,,,false,,10,hold,agency=FBI(+10) | serial (part of large multi-section file)(-5) | 15p: short document(+5),
65_hs1-834228961_62-hq-83894_serial_449.pdf,FBI,5/8/26,N/A,N/A,PDF,18,,0,false,,,false,,10,hold,agency=FBI(+10) | serial (part of large multi-section file)(-5) | 18p: short document(+5),
dow-uap-d49-launch-summary-february-2000.pdf,Department of War,5/8/26,2/3/00,N/A,PDF,113,,0,false,,,false,,10,hold,agency=Department of War(+5) | launch incident summary(+10) | 113p: long document(-5),
18_100754_ general 1946-7_vol_2.pdf,Department of War,5/8/26,12/30/47,N/A,PDF,28,,0,false,,,false,,5,hold,agency=Department of War(+5) | 28p: medium length(+0),
18_6369445_general_1948_vol_1.pdf,Department of War,5/8/26,6/15/48,N/A,PDF,28,,0,false,,,false,,5,hold,agency=Department of War(+5) | 28p: medium length(+0),
255_413270_ufo's_and_defense_what_should_we_prepare_for.pdf,NASA,5/8/26,,N/A,PDF,94,,0,false,,,false,,5,hold,agency=NASA(+10) | 94p: long document(-5),
