file_name,agency,release_date,incident_date,incident_location,file_type,source_url,download_url,dvids_video_id,downloaded,downloaded_at,first_downloaded_at,last_verified_at,notes,content_category,media_available,ocr_status,article_priority,reader_interest,risk_level,note_series,download_scope,human_review_required
CIA-UAP-008_SPECULATIVE_PAPER_BY_N_KARDASHEV_AND_A_SAKHAROV.pdf,CIA,6/12/26,1972,,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-008_SPECULATIVE_PAPER_BY_N_KARDASHEV_AND_A_SAKHAROV.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:09 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-009-UNKNOWN-FLYING_OBJECTS_OBERVED_OVER_BUDAPEST.pdf,CIA,6/12/26,1957,"Budapest, Hungary",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-009-UNKNOWN-FLYING_OBJECTS_OBERVED_OVER_BUDAPEST.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:12 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-010_REPORT_ON_CONVERSATIONS_WITH_SOVIET_SCIENTISTS_ON_SUBJECT_OF_UNIDENTIFIED_FLYING_OBJECTS_IS_THE_USSR.pdf,CIA,6/12/26,"August, 1967",USSR,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-010_REPORT_ON_CONVERSATIONS_WITH_SOVIET_SCIENTISTS_ON_SUBJECT_OF_UNIDENTIFIED_FLYING_OBJECTS_IS_THE_USSR.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:15 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-011-The_Sary_Shagan_Weapons_Testing_Range.pdf,CIA,6/12/26,"December, 1973",USSR,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-011-The_Sary_Shagan_Weapons_Testing_Range.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-012-Combatting_Fatigue_in_Crewmembers.pdf,CIA,6/12/26,"November, 1976",,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-012-Combatting_Fatigue_in_Crewmembers.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:22 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-013-Report_of_Unusual_Flying_Object_Sightings_and_Attendant_Scientific_Activity.pdf,CIA,6/12/26,1956,"Budapest, Hungary",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-013-Report_of_Unusual_Flying_Object_Sightings_and_Attendant_Scientific_Activity.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:25 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-014_British_Activity_in_the_Field_of_Unidentified_Flying_Objects.pdf,CIA,6/12/26,"December, 1952",,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-014_British_Activity_in_the_Field_of_Unidentified_Flying_Objects.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:28 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-015-Project_Blue_Book_Special_Report_No_14.pdf,CIA,6/12/26,,,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-015-Project_Blue_Book_Special_Report_No_14.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:34 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-016-Sightings_of_Unidentified_Flying_Ojbects_in_Ladakh_Nepal_Sikkim_and_Bhutan.pdf,CIA,6/12/26,1968,"Ladakh, Nepal | Sikkim, India | Bhutam",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-016-Sightings_of_Unidentified_Flying_Ojbects_in_Ladakh_Nepal_Sikkim_and_Bhutan.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:37 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-018_Report_of_Unusual_Flying_Object_Sightings_and_Attendant_Scientific_Activity.pdf,CIA,6/12/26,1955,Hungary,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-018_Report_of_Unusual_Flying_Object_Sightings_and_Attendant_Scientific_Activity.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:40 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
CIA-UAP-019-Australian_Dept_of_Defense_Scientific_and_Intel_Aspects_of_the_UFO_Problem.pdf,CIA,6/12/26,1971,Australia,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-019-Australian_Dept_of_Defense_Scientific_and_Intel_Aspects_of_the_UFO_Problem.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:37:43 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
